Experience Name: 20170807 4ppbv BTEX 5min #3
Operator Name: 
Start time: 8/7/2017 4:12:56 PM 8/7/2017 4:12:56 PM
Sampling/Pumping time: 300
Waiting time: 20
Lowest Temperature: 50
Low holding time: 0.5
Temperature 1: 80
Temp1 holding time: 0.5
Ramping speed 1: 10.0
Temperature2: 80
Temp2 holding time: 0
Ramping speed 2: 15
Time,PID1,PID2,Temp,Setpoint,pressure,pwm%

0.06399536,98.37979125,138.77999877,50.11494445,50.00000000,0.04312098,0.00000000
0.16000366,98.29920959,138.89874267,50.15792846,50.00000000,0.04336664,0.00000000
0.25601196,98.31491088,139.22189331,50.20280075,50.00000000,0.04328967,0.00000000
0.35198974,98.27644348,138.73606872,50.28865432,50.00000000,0.04329191,0.00000000
0.44799804,98.26055145,138.68467712,50.33998489,50.00000000,0.04310533,0.00000000
0.54400634,98.25795745,138.73114013,50.24838638,50.00000000,0.04317356,0.00000000
0.64001464,98.22866058,139.16334533,50.33671951,50.00000000,0.04316508,0.00000000
0.73599243,98.19847869,138.64483642,50.24595260,50.00000000,0.04309051,0.00000000
0.83200073,98.22979736,138.45204162,50.27580261,50.00000000,0.04310457,0.00000000
0.92800903,98.20625305,138.46672058,50.27282333,50.00000000,0.04313879,0.00000000
1.02398681,98.19090270,138.89234924,50.29065704,50.00000000,0.04303117,0.00000000
1.11999511,98.17017364,138.54394531,50.29681015,50.00000000,0.04294538,0.00000000
1.21600341,98.14918518,138.26336669,50.32162857,50.00000000,0.04295621,0.00000000
1.31201171,98.12175750,138.29531860,50.36935806,50.00000000,0.04315582,0.00000000
1.40798950,98.15073394,138.70242309,50.35271835,50.00000000,0.04314265,0.00000000
1.50399780,98.11016845,138.60635375,50.28426742,50.00000000,0.04316173,0.00000000
1.60000610,98.08509826,138.20167541,50.24697875,50.00000000,0.04301486,0.00000000
1.69601440,98.09985351,138.22476196,50.28469848,50.00000000,0.04305326,0.00000000
1.79199218,98.05815887,138.47207641,50.30434417,50.00000000,0.04291114,0.00000000
1.88800048,98.08090209,138.63684082,50.28271865,50.00000000,0.04305159,0.00000000
1.98400878,98.11106109,138.12059020,50.26548004,50.00000000,0.04296286,0.00000000
2.07998657,98.06201934,138.15187072,50.26042556,50.00000000,0.04285942,0.00000000
2.17599487,98.04648590,138.31144714,50.22897720,50.00000000,0.04295281,0.00000000
2.27200317,98.06374359,138.61714172,50.23629760,50.00000000,0.04306160,0.00000000
2.36801147,98.04012298,138.09201049,50.19645690,50.00000000,0.04293045,0.00000000
2.46398925,98.04375457,138.06457519,50.24876785,50.00000000,0.04283560,0.00000000
2.55999755,98.04456329,138.12614440,50.18770980,50.00000000,0.04302749,0.00000000
2.65600585,97.99203491,138.51043701,50.14464950,50.00000000,0.04310103,0.00000000
2.75201416,98.02700042,138.03921508,50.15001296,50.00000000,0.04296274,0.00000000
2.84799194,97.95420837,137.85440063,50.15690612,50.00000000,0.04298250,0.00000000
2.94400024,97.95654296,138.02174377,50.11811447,50.00000000,0.04299130,0.00000000
3.04000854,98.00546264,138.48199462,50.15893173,50.00000000,0.04308352,0.00000000
3.13598632,97.97091674,138.19442749,50.11291503,50.00000000,0.04311761,0.00000000
